Comment,Tag,clean_sentence,clean_data
ছবির সাথি  প্যান্টের  সাথে কোন মিল নাই....অর্ডার দিয়ে বোকাচোদা হইছি ,0,ছবির সাথি প্যান্টের সাথে কোন মিল নাইঅর্ডার দিয়ে বোকাচোদা হইছি,ছবির সাথি প্যান্টের সাথে মিল নাইঅর্ডার দিয়ে বোকাচোদা হইছি
আসসালামু আলাইকুম  ধন্যবাদ দারাজকে ও সেলার ভাইকে অসাধারণ একটি প্রোডাক্ট। অনলাইন থেকে এই প্রথম কোন প্রোডাক্ট অর্ডার করলাম।ডেলিভারি ও প্রোডাক্ট এর মান দেখে ভরসা পেলাম। ,2,আসসালামু আলাইকুম ধন্যবাদ দারাজকে ও সেলার ভাইকে অসাধারণ একটি প্রোডাক্ট অনলাইন থেকে এই প্রথম কোন প্রোডাক্ট অর্ডার করলামডেলিভারি ও প্রোডাক্ট এর মান দেখে ভরসা পেলাম,আসসালামু আলাইকুম ধন্যবাদ দারাজকে সেলার ভাইকে অসাধারণ প্রোডাক্ট অনলাইন প্রোডাক্ট অর্ডার করলামডেলিভারি প্রোডাক্ট মান ভরসা পেলাম
আমি ভাবতেই পারিনি অনলাইন থেকে কেনা পন্য এত ভালো হবে। ধন্যবাদ দারাজকে। তিনদিনে জায়গা মতো ডেলিভেরী পেয়েছি। কালার ডিজাইন সব পছন্দ হয়েছে। ,2,আমি ভাবতেই পারিনি অনলাইন থেকে কেনা পন্য এত ভালো হবে ধন্যবাদ দারাজকে তিনদিনে জায়গা মতো ডেলিভেরী পেয়েছি কালার ডিজাইন সব পছন্দ হয়েছে,ভাবতেই পারিনি অনলাইন কেনা পন্য ভালো ধন্যবাদ দারাজকে তিনদিনে জায়গা ডেলিভেরী পেয়েছি কালার ডিজাইন পছন্দ হয়েছে
"আমার পছন্দ হয়েছে, যদিও আরো উন্নত মানের কাপড় আশা করেছিলাম, কিন্তু দামের দিক থেকে অনেক ভালো, ",2,আমার পছন্দ হয়েছে যদিও আরো উন্নত মানের কাপড় আশা করেছিলাম কিন্তু দামের দিক থেকে অনেক ভালো,পছন্দ আরো উন্নত মানের কাপড় আশা করেছিলাম দামের দিক ভালো
কোয়ালিটি মোটামুটি ভালো. উপরের পার্ট ডার্ক ব্লু না হয়ে আরেকটু হালকা কালার হলে ভালো লাগতো.,1,কোয়ালিটি মোটামুটি ভালো উপরের পার্ট ডার্ক ব্লু না হয়ে আরেকটু হালকা কালার হলে ভালো লাগতো,কোয়ালিটি মোটামুটি ভালো উপরের পার্ট ডার্ক ব্লু হয়ে আরেকটু হালকা কালার ভালো লাগতো
সুন্দর প্রোডাক্টস এত কম দামে পাবো কখনো আশা করি নাই । ধন্যবাদ দারাজ ।চাইলে  আপনারা নিতে পারেন..,2,সুন্দর প্রোডাক্টস এত কম দামে পাবো কখনো আশা করি নাই ধন্যবাদ দারাজ চাইলে আপনারা নিতে পারেন,সুন্দর প্রোডাক্টস কম দামে পাবো কখনো আশা ধন্যবাদ দারাজ চাইলে আপনারা
অনেক  আশা করে নিলাম কিন্তু এ রকম কাটা মাল আসবে ভাবি নি এটার কি ব্যবস্থা  আছে?,0,অনেক আশা করে নিলাম কিন্তু এ রকম কাটা মাল আসবে ভাবি নি এটার কি ব্যবস্থা আছে,আশা নিলাম কাটা মাল আসবে ভাবি নি এটার ব্যবস্থা
"আমি সন্তুষ্ট . এ দামে বেশ ভালোই মনে হলো। বাকীটা ব্যবহার  করার পর বুঝা যাবে। ধন্যবাদ সেলার, ধন্যবাদ দারাজ।  ",2,আমি সন্তুষ্ট এ দামে বেশ ভালোই মনে হলো বাকীটা ব্যবহার করার পর বুঝা যাবে ধন্যবাদ সেলার ধন্যবাদ দারাজ,সন্তুষ্ট দামে ভালোই বাকীটা বুঝা ধন্যবাদ সেলার ধন্যবাদ দারাজ
"ধন্যবাদ দারাজ ,ধন্যবাদ সেলার । খুব ভালো একটা টি-শার্ট ,, কাপড়ের সেলাই ভালো ছিল.কম সময়ে ডেলিভারী পেয়েছি। আপনারা চাইলে নিতে পারেন ",2,ধন্যবাদ দারাজ ধন্যবাদ সেলার খুব ভালো একটা টি-শার্ট কাপড়ের সেলাই ভালো ছিলকম সময়ে ডেলিভারী পেয়েছি আপনারা চাইলে নিতে পারেন,ধন্যবাদ দারাজ ধন্যবাদ সেলার ভালো টি-শার্ট কাপড়ের সেলাই ভালো ছিলকম সময়ে ডেলিভারী পেয়েছি আপনারা চাইলে
"যা অর্ডার করলাম তার সম্পূর্ণ  বিপরীত কালারের পেলাম,,আমি পিক  দেখে যা অর্ডার করছি  তার থেকে সম্পূর্ণ   ভিন্ন  কালারের কাপড় পেয়েছি ",0,যা অর্ডার করলাম তার সম্পূর্ণ বিপরীত কালারের পেলামআমি পিক দেখে যা অর্ডার করছি তার থেকে সম্পূর্ণ ভিন্ন কালারের কাপড় পেয়েছি,অর্ডার করলাম সম্পূর্ণ বিপরীত কালারের পেলামআমি পিক অর্ডার করছি সম্পূর্ণ ভিন্ন কালারের কাপড় পেয়েছি
"পিকচার যেমন দেখেছি , প্রোডাক্ট টি তেমনি ভালো ছিল , খুবই শর্ট টাইম ডেলিভারি, ভালো  প্যাকেটিং, পারফেক্ট প্রাইজ ",2,পিকচার যেমন দেখেছি প্রোডাক্ট টি তেমনি ভালো ছিল খুবই শর্ট টাইম ডেলিভারি ভালো প্যাকেটিং পারফেক্ট প্রাইজ,পিকচার দেখেছি প্রোডাক্ট তেমনি ভালো শর্ট টাইম ডেলিভারি ভালো প্যাকেটিং পারফেক্ট প্রাইজ
ধন্যবাদ সেলারকে এত কম দামে এত সুন্দর টি-শার্ট দেয়ার জন্যে সেই সাথে দারাজ কেও এত সতর্কতার সহিত খুব ডেলিভারি দেয়ার জন্যে ধন্যবাদ।,2,ধন্যবাদ সেলারকে এত কম দামে এত সুন্দর টি-শার্ট দেয়ার জন্যে সেই সাথে দারাজ কেও এত সতর্কতার সহিত খুব ডেলিভারি দেয়ার জন্যে ধন্যবাদ,ধন্যবাদ সেলারকে কম দামে সুন্দর টি-শার্ট দেয়ার সাথে দারাজ কেও সতর্কতার ডেলিভারি দেয়ার ধন্যবাদ
ধ্যনবাদ  ডেলিভারি ম্যানকে  .পণ্যের মান ভালো। আশা করি কেউ ঠকবেন না ,2,ধ্যনবাদ ডেলিভারি ম্যানকে পণ্যের মান ভালো আশা করি কেউ ঠকবেন না,ধ্যনবাদ ডেলিভারি ম্যানকে পণ্যের মান ভালো আশা ঠকবেন
ধন্যবাদ বিক্রেতাকে এত ভালো পোশাক দেওয়ার জন্য... সত্যিই প্রশংসিত... এবং ডেলিভারি খুব দ্রুত ছিল...,2,ধন্যবাদ বিক্রেতাকে এত ভালো পোশাক দেওয়ার জন্য সত্যিই প্রশংসিত এবং ডেলিভারি খুব দ্রুত ছিল,ধন্যবাদ বিক্রেতাকে ভালো পোশাক সত্যিই প্রশংসিত ডেলিভারি দ্রুত
ধন্যবাদ দারাজকে এবং সেলার ভাই দেরকে এত কমদামে ভালো কাপড় দেয়ার জন্য সবাই কিনতে পারেন খুব ভালো,2,ধন্যবাদ দারাজকে এবং সেলার ভাই দেরকে এত কমদামে ভালো কাপড় দেয়ার জন্য সবাই কিনতে পারেন খুব ভালো,ধন্যবাদ দারাজকে সেলার ভাই দেরকে কমদামে ভালো কাপড় দেয়ার সবাই কিনতে ভালো
"অর্ডার দিয়েছিলাম একটা দিল আরেকটা, ভুল করে কেউ অনলাইন থেকে শপিং করবেন না । সব ফালতু বাটপার",0,অর্ডার দিয়েছিলাম একটা দিল আরেকটা ভুল করে কেউ অনলাইন থেকে শপিং করবেন না সব ফালতু বাটপার,অর্ডার দিয়েছিলাম দিল আরেকটা ভুল অনলাইন শপিং ফালতু বাটপার
খুব ভালো। সেলার খুব ভালো ভাবে দিয়েছে এর জন্য ধন্যবাদ ,2,খুব ভালো সেলার খুব ভালো ভাবে দিয়েছে এর জন্য ধন্যবাদ,ভালো সেলার ভালো দিয়েছে ধন্যবাদ
"আলহামদুলিল্লাহ ,ছবির সাথে যথেষ্ট মিল আছে, কাপড় ও ভাল।",2,আলহামদুলিল্লাহ ছবির সাথে যথেষ্ট মিল আছে কাপড় ও ভাল,আলহামদুলিল্লাহ ছবির সাথে মিল কাপড় ভাল
ছবির প্যান্টের কালারের সাথে মিল নাই কিন্তু যে কালারের প্যান্ট পেয়েছি এইটাও খারাপ না.দাম হিসেবে ভালোই ,1,ছবির প্যান্টের কালারের সাথে মিল নাই কিন্তু যে কালারের প্যান্ট পেয়েছি এইটাও খারাপ নাদাম হিসেবে ভালোই,ছবির প্যান্টের কালারের সাথে মিল কালারের প্যান্ট পেয়েছি এইটাও খারাপ নাদাম হিসেবে ভালোই
মোটামোটি ভালো। কিনতু দিলাম অডার একটা পাই লাম আরেকটা,1,মোটামোটি ভালো কিনতু দিলাম অডার একটা পাই লাম আরেকটা,মোটামোটি ভালো কিনতু দিলাম অডার পাই লাম আরেকটা
"দাম হিসেবে ঠিক  আছে , আপনারা চাইলে নিতে পারেন",2,দাম হিসেবে ঠিক আছে আপনারা চাইলে নিতে পারেন,দাম হিসেবে আপনারা চাইলে
যা আশা করছি তার চেয়ে ভালো পাইছি। ধন্যবাদ,2,যা আশা করছি তার চেয়ে ভালো পাইছি ধন্যবাদ,আশা করছি ভালো পাইছি ধন্যবাদ
এটা অনেক ভালো যে রকম দেওয়া ছিল ঠিক তেমন,2,এটা অনেক ভালো যে রকম দেওয়া ছিল ঠিক তেমন,ভালো
এই দামে এর চেয়ে ভালো আশা করা যায় না।,2,এই দামে এর চেয়ে ভালো আশা করা যায় না,দামে চেয়ে ভালো আশা
দাম অনুযায়ী এক কথায় অসাধারণ,2,দাম অনুযায়ী এক কথায় অসাধারণ,দাম অনুযায়ী এক কথায় অসাধারণ
অর্ডার  দিয়েছি L সাইজ পাইছি  M  সাইজ ,0,অর্ডার দিয়েছি L সাইজ পাইছি M সাইজ,অর্ডার দিয়েছি L সাইজ পাইছি M সাইজ
গেঞ্জিটি  আমার খুবই পছন্দ হয়েছে  এবং তারাতাড়ি ডেলিভারি দেওয়া হয়েছে। ডেলিভারি ম্যানের ব্যবহার ও ভাল ছিল। ধন্যবাদ দারাজ !,2,গেঞ্জিটি আমার খুবই পছন্দ হয়েছে এবং তারাতাড়ি ডেলিভারি দেওয়া হয়েছে ডেলিভারি ম্যানের ব্যবহার ও ভাল ছিল ধন্যবাদ দারাজ,গেঞ্জিটি পছন্দ হয়েছে তারাতাড়ি ডেলিভারি হয়েছে ডেলিভারি ম্যানের ভাল ধন্যবাদ দারাজ
"কি রিভিউ দিবো সাইজ ঠিক নাই চাইছি M আর দিছেন XL এটা কেমন হইলো  ভাইয়া এমনটা আশা  করিনাই,আপনার থেকে সাইজ না থাকলে বলে দিতেন যে M  সাইজ নাই",0,কি রিভিউ দিবো সাইজ ঠিক নাই চাইছি M আর দিছেন XL এটা কেমন হইলো ভাইয়া এমনটা আশা করিনাইআপনার থেকে সাইজ না থাকলে বলে দিতেন যে M সাইজ নাই,রিভিউ দিবো সাইজ চাইছি M দিছেন XL কেমন হইলো ভাইয়া এমনটা আশা করিনাইআপনার সাইজ থাকলে দিতেন M সাইজ
অ‌নে‌কের রি‌ভিউ দেখে অর্ডার ক‌রে‌ছিলাম ৫‌পিছ কিন্তু হা‌তে পে‌য়ে দেখলাম রাস্তার ভ্যানেও  এর থে‌কে অ‌নেক ভাল কোয়া‌লি‌টির পণ্য  পাওয়া যায় এই দা‌মে । সব থে‌কে ফালতু জি‌নিস কাপ‌ড়ের কোয়া‌লি‌টিও অ‌নেক বা‌জে ।,0,অ‌নে‌কের রি‌ভিউ দেখে অর্ডার ক‌রে‌ছিলাম ‌পিছ কিন্তু হা‌তে পে‌য়ে দেখলাম রাস্তার ভ্যানেও এর থে‌কে অ‌নেক ভাল কোয়া‌লি‌টির পণ্য পাওয়া যায় এই দা‌মে সব থে‌কে ফালতু জি‌নিস কাপ‌ড়ের কোয়া‌লি‌টিও অ‌নেক বা‌জে,অ‌নে‌কের রি‌ভিউ অর্ডার ক‌রে‌ছিলাম ‌পিছ হা‌তে পে‌য়ে দেখলাম রাস্তার ভ্যানেও থে‌কে অ‌নেক ভাল কোয়া‌লি‌টির পণ্য পাওয়া দা‌মে থে‌কে ফালতু জি‌নিস কাপ‌ড়ের কোয়া‌লি‌টিও অ‌নেক বা‌জে
ডিজাইন ঠিক ছিল কিন্তু দুই  কাপড়ের তালি দেওয়া...মানেও ভাল না ..এখনো পড়িনি তাই বেশি কিছু লিখতে পারলাম না,0,ডিজাইন ঠিক ছিল কিন্তু দুই কাপড়ের তালি দেওয়ামানেও ভাল না এখনো পড়িনি তাই বেশি কিছু লিখতে পারলাম না,ডিজাইন কাপড়ের তালি দেওয়ামানেও ভাল এখনো পড়িনি লিখতে পারলাম
যেটা অর্ডার দিয়েছি সেটা তো পেলাম না। পেলাম অন্য কালার। আশা করেছিলাম আপনার থেকে যেটা অর্ডার দিয়েছিলাম সেটা পাবো। ,0,যেটা অর্ডার দিয়েছি সেটা তো পেলাম না পেলাম অন্য কালার আশা করেছিলাম আপনার থেকে যেটা অর্ডার দিয়েছিলাম সেটা পাবো,অর্ডার দিয়েছি পেলাম পেলাম কালার আশা করেছিলাম অর্ডার দিয়েছিলাম পাবো
দাম অনুযায়ী ভালো হয়েছে। কিন্তু অর্ডার দিয়েছি XL সাইজ হাতে পেয়েছি L সাইজ।নিজে পড়তে পারলাম না উপহার দিয়ে দিতে হলো,1,দাম অনুযায়ী ভালো হয়েছে কিন্তু অর্ডার দিয়েছি XL সাইজ হাতে পেয়েছি L সাইজনিজে পড়তে পারলাম না উপহার দিয়ে দিতে হলো,দাম অনুযায়ী ভালো হয়েছে অর্ডার দিয়েছি XL সাইজ হাতে পেয়েছি L সাইজনিজে পড়তে পারলাম উপহার দিয়ে
"আমি যে গেঞ্জীটা অর্ডার দিয়েছি তার উপরের অংশ ছিল আকাশী কালার, পেলাম গাঢ় নীল কালার ",0,আমি যে গেঞ্জীটা অর্ডার দিয়েছি তার উপরের অংশ ছিল আকাশী কালার পেলাম গাঢ় নীল কালার,গেঞ্জীটা অর্ডার দিয়েছি উপরের অংশ আকাশী কালার পেলাম গাঢ় নীল কালার
"দেখতে অনেক সুন্দর দাম অনুযায়ী ঠিক আছে,আমার  গায়ে খুব ভালো ফিটিং হয়ছে, কাপড়ের মানও মোটামুটি ভালো।",2,দেখতে অনেক সুন্দর দাম অনুযায়ী ঠিক আছেআমার গায়ে খুব ভালো ফিটিং হয়ছে কাপড়ের মানও মোটামুটি ভালো,সুন্দর দাম অনুযায়ী আছেআমার গায়ে ভালো ফিটিং হয়ছে কাপড়ের মানও মোটামুটি ভালো
ওয়াও। প্রোডাক্ট টি সত্যি অসাধারন ছিল। যেমন টি চেয়েছিলাম বা ভেবেছিলাম তার চেয়েও অনেক সুন্দর।,2,ওয়াও প্রোডাক্ট টি সত্যি অসাধারন ছিল যেমন টি চেয়েছিলাম বা ভেবেছিলাম তার চেয়েও অনেক সুন্দর,ওয়াও প্রোডাক্ট সত্যি অসাধারন চেয়েছিলাম ভেবেছিলাম চেয়েও সুন্দর
দাম অনুযায়ী ভালো মানের পলো শার্ট। ধন‍্যবাদ দারাজকে সময়মতো ডেলিভারি দেওয়ার জন‍্য।,2,দাম অনুযায়ী ভালো মানের পলো শার্ট ধন‍্যবাদ দারাজকে সময়মতো ডেলিভারি দেওয়ার জন‍্য,দাম অনুযায়ী ভালো মানের পলো শার্ট ধন‍্যবাদ দারাজকে সময়মতো ডেলিভারি দেওয়ার জন‍্য
দাম অনুযায়ী কোয়ালিটি ঠিক আছে সেলার কে ধন্যবাদ কালার ঠিকমতো দেওয়ার জন্য,2,দাম অনুযায়ী কোয়ালিটি ঠিক আছে সেলার কে ধন্যবাদ কালার ঠিকমতো দেওয়ার জন্য,দাম অনুযায়ী কোয়ালিটি সেলার ধন্যবাদ কালার ঠিকমতো দেওয়ার
গেঞ্জি খুব ভালো লেগেছে কিন্তু মোটা কাপড়ের বলে গরমে গায়ে দেওয়া যাবেনা,1,গেঞ্জি খুব ভালো লেগেছে কিন্তু মোটা কাপড়ের বলে গরমে গায়ে দেওয়া যাবেনা,গেঞ্জি ভালো লেগেছে মোটা কাপড়ের গরমে গায়ে যাবেনা
কাপড়ের মান এতোটা ভাল না৷ তবে দাম হিসেবে ঠিক  আছে নিতে পারেন সবাই,1,কাপড়ের মান এতোটা ভাল না৷ তবে দাম হিসেবে ঠিক আছে নিতে পারেন সবাই,কাপড়ের মান এতোটা ভাল না৷ দাম হিসেবে সবাই
"খুব ভালো ছিলো,,, সবাই চাইলে নিতে পারেন। ধন্যবাদ সেলার  কে ",2,খুব ভালো ছিলো সবাই চাইলে নিতে পারেন ধন্যবাদ সেলার কে,ভালো ছিলো সবাই চাইলে ধন্যবাদ সেলার
অসাধারন আমার কাছে খুব ভালো লাগছে চাইলে আপনারা নিতে পারেন,2,অসাধারন আমার কাছে খুব ভালো লাগছে চাইলে আপনারা নিতে পারেন,অসাধারন ভালো লাগছে চাইলে আপনারা
মোটামুটি  দাম অনুযায়ী ঠিক আছে। XL  সাইজ অনেক বড়।,1,মোটামুটি দাম অনুযায়ী ঠিক আছে XL সাইজ অনেক বড়,মোটামুটি দাম অনুযায়ী XL সাইজ বড়
সাইজ টা ছোট। চেঞ্জ  করা যাবে কি? আমার গায়ে হচ্ছে না।,0,সাইজ টা ছোট চেঞ্জ করা যাবে কি আমার গায়ে হচ্ছে না,সাইজ টা ছোট চেঞ্জ গায়ে
ধন্যবাদ দারাজ কে এত সুন্দর প্রোডাক্ট  দেওয়া জন্য,2,ধন্যবাদ দারাজ কে এত সুন্দর প্রোডাক্ট দেওয়া জন্য,ধন্যবাদ দারাজ সুন্দর প্রোডাক্ট
হাইটে একটু লম্বা হলে ভাল হত তবে গেঞ্জি পারফেক্ট,1,হাইটে একটু লম্বা হলে ভাল হত তবে গেঞ্জি পারফেক্ট,হাইটে একটু লম্বা ভাল গেঞ্জি পারফেক্ট
অনেক সুন্দর হয়েছে ভাইয়া আশা করছি আরো কিনবো,2,অনেক সুন্দর হয়েছে ভাইয়া আশা করছি আরো কিনবো,সুন্দর হয়েছে ভাইয়া আশা করছি আরো কিনবো
কালার এবং সাইজ সেম হয়নি! কিন্তুু ফিটিংস ভালো,1,কালার এবং সাইজ সেম হয়নি কিন্তু ফিটিংস ভালো,কালার সাইজ সেম হয়নি ফিটিংস ভালো
ধন্যবাদ দারাজ সবকিছু ঠিকআছে ছবির সাথে মিল আছে,2,ধন্যবাদ দারাজ সবকিছু ঠিকআছে ছবির সাথে মিল আছে,ধন্যবাদ দারাজ সবকিছু ঠিকআছে ছবির সাথে মিল
অনেক ভালো পন্য দাম হিসেবে। কাপড়ের মান ভালো।,2,অনেক ভালো পন্য দাম হিসেবে কাপড়ের মান ভালো,ভালো পন্য দাম হিসেবে কাপড়ের মান ভালো
খুব বাজে একটা কাপড় দিছেন যেটা আশা করিনি,0,খুব বাজে একটা কাপড় দিছেন যেটা আশা করিনি,বাজে কাপড় দিছেন আশা করিনি
গেঞ্জিটা একুরেট পেয়েছি ধন্যবাদ দারাজকে।,2,গেঞ্জিটা একুরেট পেয়েছি ধন্যবাদ দারাজকে,গেঞ্জিটা একুরেট পেয়েছি ধন্যবাদ দারাজকে
যেমনটা চেয়েছি তেমনটা পেয়েছি খারাপ না,1,যেমনটা চেয়েছি তেমনটা পেয়েছি খারাপ না,যেমনটা চেয়েছি তেমনটা পেয়েছি খারাপ
চাইলাম রেড দিলেন হলুদ মোটামুটি ভালো,2,চাইলাম রেড দিলেন হলুদ মোটামুটি ভালো,চাইলাম রেড হলুদ মোটামুটি ভালো
খুব ভালো লাগলো আপনাদের শপে শপিং করে।,2,খুব ভালো লাগলো আপনাদের শপে শপিং করে,ভালো লাগলো আপনাদের শপে শপিং
অসাধারন ভালো পন্য সবাই নিতে পারেন,2,অসাধারন ভালো পন্য সবাই নিতে পারেন,অসাধারন ভালো পন্য সবাই
"যেমন ছিলো, তেমনি পেয়েছি ধন্যবাদ",2,যেমন ছিলো তেমনি পেয়েছি ধন্যবাদ,ছিলো তেমনি পেয়েছি ধন্যবাদ
ছোট গেঞ্জি গায়ে হয় না। ভালো না।,0,ছোট গেঞ্জি গায়ে হয় না ভালো না,ছোট গেঞ্জি গায়ে ভালো
"একদম ভাল না, এক ধোয়াতেই নেকরা",0,একদম ভাল না এক ধোয়াতেই নেকরা,একদম ভাল এক ধোয়াতেই নেকরা
দাম হিসেবে অনেক ভালো। ব্যবহার করেও অনেক মজা।,2,দাম হিসেবে অনেক ভালো ব্যবহার করেও অনেক মজা,দাম হিসেবে ভালো করেও মজা
