Name,Comment,Tag
Mizanur R.,"একদম অতুলনীয়  , কাপড়  টাও খুবই ভালো ধন্যাবাদ সেলার কে সঠিক প্রোডাক্ট  দেয়ার জন্য",Positive
rokibul I.,দাম অনুযায়ী ঠিকঠাক আপনারাও নিতে পারেন সেলার কে ধন্যবাদ দারজকে ধন্যবাদ।,Positive
BM N,কাপড়টা অনেক ভালো  কিন্তু গেঞ্জির  বোতাম  এবং অনেক  কিছু মিল নাই,Neutral
Tushar S,"আলহামদুলিল্লাহ কাপড়ের মান ভালো, আপনারা চাইলে নিতে পারেন।",Positive
Mahmud H,কাপড় ডিজাইন সেম পাইছি সবাই নিতে পারেন কাপড়ের মানও ভালো,Positive
Faisal A.,"কাপড়ের মান একদম বাজে,,৫০টাকার কাপড় এর চেয়ে অনেক ভাল,",Negative
ZARJIJUL I.,অনেক অনেক ভালো একটা প্রোডাক্ট ! ধন্যবাদ সেলার ভাইকে,Positive
Rayhan N.,টি-শার্টটা খুব ভালো ছবির সাথে মিল আছে ধন্যবাদ দারাজ।,Positive
ranjan R,কম দামের হলেো অনেক ভালোমানের একটি গেঞ্জি,Positive
Mohammad B,যেমনটি দেখানো হয়েছে তেমনটিই পেয়েছি।,Positive
Wasif H,"ধন্যবাদ দারাজ, যে ডিজাইনটা অর্ডার করেছি সেইম টা দেয়া হয়নি কিন্তু যেটা দিছে সেটাও সুন্দর , প্রাইজ অনু্যায়ী কাপড়টাও বেশ ভাল... চাইলে আপনারাও নিতে পারেন!",Neutral
Billal S.,আমি চাইছি একটা দিছে আরেকটা আর অর্ডার  করছি M সাইজ  সালারা দিছে xl সাইজ আবার এটার উপরে মুছে লেখে দিছে M এই সেলারের কাছে আর কেও কিছু কিনবেন না,Negative
Emran,অনেক সুন্দর  ছবির সাথে মিল আছে আমি ১২৬টাকায় কিনছি,Positive
hasan K,ভাইয়া সব কিছু সেম পাইছি মনের মতন হইছে আরো ২ টা অর্ডার  দিছি রয়েল ব্লু আর হলুদ খুব দ্রুত শিফট  করে দিয়েন,Positive
Sanjida A.,অনেক অনেক ধন্যবাদ দারাজ কে অল্প টাকায় অনেক সুন্দর টি-শার্ট সবাই নিতে পারেন ধন্যবাদ সেলার ভাইকে ,Positive
Md.Nuruzzaman S,"দাম অনুযায়ী প্রোডাক্ট যথেষ্ট ভালো,, ধন্যবাদ সেলারকে",Positive
jubel,দাম অনুযায়ী প্রোডাক্ট  ১০০% ভালো শুধু ডেলিভারি চার্জ টা একটু বেশি হয়েছে এছাড়া কাপড় এর মান এই দামে মুটামুটি ভালো।। আর যা চেয়েছি তা-ই পেয়েছি এর জন্য ধন্যবাদ সেলার টিম কে,Positive
Md.Abdullah A.,আলহামদুলিল্লাহ। যেমনটা অর্ডার করেছি ঠিক তেমনি পেয়েছি।কাপড়ের মান মোটামুটি ভালো।সেলারকে ধন্যবাদ।আপনারা নিতে পারেন।,Positive
Rifatul I.,ভাইজান কম দামে অনেক ভালো কাপড় দিয়েছেন কিন্তু আমিও বুঝতে পারি উইআর হাউস থেকে কাপড় নিয়ে আসার সময় ধুলোবালি পড়েছে  কাপড়ের উপর তাই একটু কাপড়টা ডিসকালার দেখতে লাগতেছে প্লিজ দয়া করে প্যাকেটিং ভালো করুন আর কাপড় ভালোভাবে ধোলাই দিয়েন,Neutral
sanzi A.,আজ পেলাম কিন্তু দুই সাইডে দুই কালারের কাপড়  তাছাড়া সেলাইয়েও  সমস্যা বাজে মাল পাঠাইলো সেলার।,Negative
SHAHIN K.,বাহ্ অনেক সুন্দর এই পলো টি শার্ট টি ধন্যবাদ দারাজ ও ডেলিভ্যেরি ম্যানকে,Positive
Sipto K,ভাইয়া আমি পলো শার্ট হাতে পাইছি।মাশ আল্লাহ ভাল পাইছি।কিন্তু আমার এক সাইজ বড় লাগবে।গেঞ্জিটা ছোট হয়ে গেছে।আমকে কি চেঞ্জ করে এক সাইজ বড় দেওয়া যায়।,Neutral
Jinarul I,দাম অনুযায়ী ভালই আছে।তবে কলারটা ছবিতে নীল আর ব্লাক দেখে অর্ডার করছিলাম। কিন্তু বাস্তবে নেভি ব্লু আর ব্লাক।নেভি ব্লু কালো না হয়ে নীল আর কালোটা বেশি ভালো লাগতো।,Neutral
shuikut K,সেলার ভাইকে অনেক ধন্যবাদ যেমন চাইছিলাম তেমনটা পেয়েছি আপনারা চাইলে নিতে পারেন,Positive
Himel K,অসম্ভব সুন্দর একটা পোলো শার্ট ২ দিনে ডেলিভারি পেয়েছি অল্প টাকায় ভালো জিনিস আমি সন্তুষ্ট ধন্যবাদ দারাজ ভালো সার্ভিস দেওয়ার জন্য,Positive
mohammedAsif,এত কম দামে অনেক ভাল একটা টি-শার্ট  দেওয়ার জন্য ধন্যবাদ দারাজ এবং সেলারকে।যে কেউ নিঃসন্দেহে  নিতে পারেন।খুব ভাল প্যাকেজিং  ছিল।,Positive
Taseen A.,কেউ এই পণ্যটি নিবেন না ভাই সেলার সাইজ চাইবেন একটা দিবে আরেকটা  আমি xl  চাইছিলাম ও আমাকে l সাইজ দিছে এখন এটি ফেলে দেওয়া ছাড়া আর কোন উপায় নেই। ,Negative
sumon M.,"ছবি দিছে এক রকম আর গেঞ্জি দিছে আরেকরকম। সব ঠিক আছে, তবে কালার টা একদম পুরনো দেখতে",Negative
Rouf M,"টি-শার্টরের   কালার যেমন টা দেখেছিলাম  বাস্তবে সাথে  কোনো মিল নিয়ে ,কালার  ভাল না",Negative
MD.Rashid S.,"ভালো পেয়েছি,ছবিতে যা আছে তাই।নিতে পারেন আপনারাও",Positive
Shimul M.,দাম অনুযায়ী প্যান্টি   অনেক সুন্দর হয়েছে । আমি খুশি,Positive
Riyad H.,অনেক ভালো আমার এককথায় অনেক ভালো লাগচ্ছে,Positive
Fashion F,আলহামদুলিল্লাহ খুব ভালো- কালার ও ডিজাইন সেইম পেয়ছি গায়ে দিয়ে আারাম পাচ্ছি- ভাবতেও পারিনাই  এত সুন্দর জিনিস এত দ্রুত পাবো,Positive
Rizvy H.,আলহামদুলিল্লাহ খুব ভালো পণ্য পেয়েছি  বরাবরের মত সেইম পণ্য ই দিয়েছে দারাজ  এইভাবে আমাদের কে সন্তুষ্ট করতে পারলে পরবর্তীতে আমরা আরও  কিনতে পারবো ,Positive
Fashion F,আমি ভাবতেই পারিনি অনলাইন থেকে কেনা পন্য এত ভালো হবে। ধন্যবাদ দারাজকে। তিনদিনে জায়গা মতো ডেলিভারী  পেয়েছি। কালার ডিজাইন সব পছন্দ  হয়েছে। ,Positive
Masud R,আসসালামু আলাইকুম ধন্যবাদ দারাজকে ও সেলার ভাইকে অসাধারণ একটি প্রোডাক্ট।অনলাইন থেকে এই প্রথম কোন প্রোডাক্ট অর্ডার করলাম।ডেলিভারী ও প্রোডাক্ট এর মান দেখে ভরসা পেলাম। ,Positive
Fashion F,"আলহামদুলিল্লাহ খুব ভালো প্রোডাক্ট , আমার পছন্দ হইছে খুব সুন্দর যা চাইছি দারাজ তা ই দিছে ধন্যবাদ দারাজকে",Positive
Ruhul A,"যেরকম অর্ডার করেছি, সেরকমই পাইছি।ধন্যবাদ সেলারকে সঠিক পণ্যটি দেওয়ার জন্য।ডেলিভারী  ম্যানের ব্যবহার  ভালো ছিল।আপনারা চাইলে নিতে পারেন।",Positive
sadman S,"আলহামদুলিল্লাহ, যেটা চেয়েছিলাম সেটাই পেয়েছি। কাপড়ের কোয়ালিটিও অনেক ভালো। কেহ চাইলে নিতে পারেন। ধন্যবাদ দারাজ এবং সেলারকে।",Positive
Rumann A.,ধন্যবাদ দারাজকে এবং সেলার ভাইদেরকে এত কমদামে ভালো কাপড় দেয়ার জন্য সবাই কিনতে পারেন খুব ভালো একটা প্রোডাক্ট ,Positive
Lablu P.,"অর্ডারকৃত টি শার্টের সাথে এটা একটু পার্থক্য হয়ে গেছে। নিচের কালারটা মিল নেই। ধোয়ার পর দেখি কেমন হয়। যা চাইলাম, তা না থাকলে না দিবেন। ছবির সাথে মিল নেই ",Negative
Jhohirul H,"দারাজে প্রথম অর্ডার করে চিন্তিত ছিলাম! তো এখন আমি অনেক আনন্দিত কারণ যেরকম চেয়ে ছিলাম. তেমন পেয়েছি,ধণ্যবাদ দারাজ ও সেলার ভাই কে,, চাইলে আপনার নিচ্চিন্তে ক্রয় করতে পারেন,,,,,",Positive
Tridip K.,চোর গুলো ব্যবসা ভাল করে। তোরা  না  দেখে কেন ডেলিভারি দিয়েছিস ।দারাজ বাটপারদের নিয়ে ভালই আছে ওরা চোরে চোরে মাসতুতো ভাই,Negative
Police H.,অনেক দিন পারে রিভিউ দিলাম দাম হিসেবে টিশার্টা খুব ভালো ছিলো যেই রকমটা চেয়েছি  ঠিক সেই রকমটা পেয়েছি সেলারকে অনেক ধন্যবাদ,Positive
Four B,ভালো ছিলো মাত্র ২ দিনে ডেলিভারি পেয়েছি অল্প টাকায় ভালো ছিলো সবাই পছন্দ করছে ভালো আছে আপনারও চাইলে নিতে পারেন ভালো হবে আশা করি ধন্যবাদ দারাজ আমি সন্তুষ্ট ,Positive
raju A.,১০০০ টাকার মাল ছাড় দিয়া ২৩০ টাকায় কিনলাম কিন্তু ৫০ টাকাও পছন্দ  হয় না রং উঠে গেছে দেখে মনে হয় আগের ব্যবহার করা ফুটপাতেও এর থেকে ভালো পাওয়া যায়,Negative
Shovo B.,সেলার কে ধন্যবাদ এতো ভালো গেঞ্জি দেয়ার জন্য।দাম অনুযায়ী গেঞ্জি ১০০%সঠিক।রুপার দামে তো সোনা কেনা যাবে না।সঠিক পন্য পেয়েছি শুকরিয়া।,Positive
Brother F.,খুবই চমৎকার  জিনিস । একদম সেম টু সেম। ধন্যবাদ  সেলার কে। সেলার ও খুব ভালো। ধন্যবাদ দারাজ . আপনারা চাইলে কিনতে পারেন।,Positive
Tanvir R.,আলহামদুলিল্লাহ যেমনটা দেখেছিলাম ঠিক  সেটাই।যে  সেলার আমাকে দিছেন ধন্যবাদ সেলার ভাইকে ধন্যবাদ দারাজকে,Positive
Mili M,ধন্যবাদ দারাজকে এবং সেলার ভাইদেরকে এত কমদামে ভালো কাপড় দেয়ার জন্য সবাই কিনতে পারেন খুব ভালো,Positive
Basumoni,গেঞ্জির  কলারে সমস্যা আছে। এ ধরনের পণ্য দিলে আমাদের অনলাইনে কেনাকাটা করতে আগ্রহ নষ্ট হয়ে যাবে ,Negative
Rakib H,"যেমনটা অর্ডার করছিলাম তেমনটাই পাইছি,ধন্যবাদ দারাজকে এতো কম টাকায় ভালোমানের জিনিস দেয়া",Positive
sumon,ভালো কিন্তু অনেক দাগ ও আছে । সেলার ভাইরা একটু ভালো করে চেক করে ডেলিভারি দেওয়া উচিৎ।,Neutral
MD.Naim,অনেক সুন্দর হইছে সেইম টু সেইম পেয়েছি অল্প সময়ে পেয়েছি ডেলিভারী  ম্যান অনেক ভালো ছিল,Positive
Asadul J.,না গেঞ্জি  অনেক ভালো ছিল না  যেরকম চেয়েছি ঐরকম  পাইছি,Negative
MOHAIMEN K,"বাজে প্রোডাক্ট । কালার, কোয়ালিটি কোনোটাই মিল নেই।প্রতারণা বাদ দেন। ভালো হয়ে যান।",Negative
Moni K.,সব ঠিক আছে। শুধু XL এর পরিবর্তে L সাইজ পাঠালেন। ফিটিং হওয়ায় ফেরত দিলাম না।,Neutral
Reyad B.,এক কথায় অসাধারন। পারফেক্ট পলো শার্ট। ধন্যবাদ সেলার এবং দারাজ।,Positive
মনোতোষ,এই স্টোর থেকে কেউ কিছু কিনবেন না এরা খুবই খারাপ প্রোডাক্ট ডেলিভারি দেয়।,Negative
kamrul H,"আলহামদুলিল্লাহ,, দাম অনুযায়ী ভালোই পাইছি আর সাইজ যা দিয়েছি তাই পেয়েছি",Positive
MD R,টি শার্টটি ভালো ছিল কিন্তু কিছু স্পট ছিল।মনে হচ্ছে ফেরতযোগ্য টি শার্ট ছিল। কালারটা গারো নীল ছিল কালোর মতো। এটা আমি আসা করিনা।তবুও দাম হিসাবে মোটামুটি ভালোই।,Neutral
Humayunkabir,"কম দামে ভালো প্রোডাক্ট  সেলার ভালো যেমনটা চেয়েছি তেমনটাই পেয়েছি ধন্যবাদ দারাজকে ডেলিভারী ম্যান  ভালো ছিল, আপনারা নিতে পারেন।",Positive
Fazly R,"কাপড় কোয়ালিটি মোটেও  ভালো না৷৷ আর আপনারা আপনাদের ছবি এডিট করে আরো বেশি কালারফুল কেনো করেন, আসল পিক টা দিলে কি হয়৷ ",Negative
anik M.,এই বার সহ ৭ম বার এই শপ থেকে পণ্য ক্রয় করলাম এই শপের পণ্য গুলো অনেক সুন্দর এবং কোয়ালিটি ফুল গেঞ্জি গুলো। ,Positive
Sojib,"আমার পছন্দ হয়েছে, যদিও আরো উন্নত মানের কাপড় আশা করেছিলাম, কিন্তু দামের দিক থেকে অনেক ভালো, ",Neutral
Talukdar A.,ধন্যবাদ দারাজ খুব দ্রুত সময়ের মধ্যে আমার পন্যটি ডেলিভারি দেওয়াতে। যেমন অর্ডার করেছি ঠিক সেই পন্যটি ই আমাকে দিয়েছে।,Positive
Razib S.,এই বাজেট এর মধ্যে বেশ ভালো কোয়ালিটির প্রোডাক্ট দারাজ এ এটা আমার প্রথম অর্ডার ছিলো আলহামদুলিল্লাহ্‌ আমি খুশি ,Positive
Sojib,৫ কালারের ৫ টা অর্ডার করেছি সেইম ই পেয়েছি কাপড়ের মান যথেষ্ট ভালো ব্যবহার করে ভালো লাগছে ধন্যবাদ দারাজ ও সেলার কে।,Positive
mahir A,একদম ই ভালো না এরকম প্রোডাক্ট দিলে গ্রাহক আস্থা  হারিয়ে  ফেলবে আমি একদিন ব্যবহার  করছি সাদা জায়গা লাল হয়ে গেছে,Negative
Shahed,"ধন্যবাদ জানিয়ে ছোটো করবো না,, যেমন দেখছিলাম, তার থেকেও ভালো পেয়েছি,, আরও ২ টা অর্ডার দিচ্ছি, আশা করছি এই দুইটাও বেষ্ট পাবো,,৷৷ ৫ স্টার দিয়ে দিলাম",Positive
jannatul S,"খুব অসাধারণ একটি পন্য। সত্যি দারাজ সবসময় ক্রেতাদের পাশে থাকে। আর আমরা ক্রেতারা ও অনেক খুশি, দারাজ এর সহোযোগিতার জন্য।",Positive
plabon K.,খুবই দুঃখজনক। চাইলাম একটা দিলেন অন্য টা। দারাজ এর কোয়ালিটি ম্যানেজমেন্ট খুব বাজে। এরা অর্ডার  চেক করে না। আর সেলার যা মন চাইলো তাই দিলো। বাজে সেলার।,Negative
